,rating,tconst,title,year,cast1,cast2,cast3,cast4,director,genre1,genre2,plot,date,runtime,tagline,writers
5723,,tt2039379,Roaming Beasts of Terror,2011,Jack Landon,,,,Clifford Allan Sullivan,Horror,,It's about a Werewolf attacking a city suburb. Two Supernatural hunters track it down in an attempt to stop it.,2011-11-03,70,,Clifford Allan Sullivan
5753,5.8,tt2094829,Goodleburg,2011,Katlin Stack,Ryan Baroudi,Kelly Coviello,Katie Day,B.J. Stack IV,Horror,Thriller,Three aspiring filmmakers are hired to film a documentary about the legends of a local cemetery. While filming; BJ...,,90,You get what you deserve.,Katlin Stack
5757,,tt1130017,Permata di perlimbahan,1952,Nordin Ahmad,Junaidah D. Harris,J. Husny,Salmah Ibrahim,Haji Mahadi,Drama,Romance,,1952,,,
5768,7.3,tt1230567,The Flea in the Ear,1956,Pierre Mondy,Jacques-Henry Duval,Albert Rémy,Alfred Adam,Stellio Lorenzi,Comedy,,,1956-09-22,,,Georges Feydeau
5787,,tt3336902,Craigslist Mafia,,Sean Kanan,Paul Vandervort,Matthew Chase,,,Drama,,"When two brothers leave their abusive father to start a business selling cars on Craigslist, they set in motion an unstoppable butterfly effect within multiple interconnected lives.",,,,Paul Vandervort
5793,4.9,tt1658820,Sket,2011,Lily Loveless,Riann Steele,Aimee Kelly,Emma Hartley-Miller,Nirpal Bhogal,Crime,nan,When a young woman is cruelly and indiscriminately attacked by a notorious gang led by the violent Trey...,2011-10-28,83,Man's world. Sisters' hood.,Nirpal Bhogal
5807,6.4,tt1225826,Bound by a Secret,2009,Meredith Baxter,Lesley Ann Warren,Bridget White,Holt McCallany,David S. Cass Sr.,Drama,,Two lifelong friends must face personal drama when one of them learns she has cancer. They also have...,2009-03-07,,,Darrell V. Orme Mann
5832,9.3,tt1310607,"Mein Sohn, der Herr Minister",1958,Willy Reichert,Wilhelm Kürten,Alice Treff,Boy Gobert,Hannes Tannert,Comedy,,,1958-03-06,75,,Heinrich Carle
5850,,tt3683228,Shattered Memories,,Rachel Alig,James Cavlo,Brian Rodriguez,Alec Espinosa,Justin Angeloni,Horror,,Shattered Memories is a supernatural thriller about a man recovering disturbing episodes from his past.,,,,Brian Rodriguez
5870,5.6,tt1458936,Missing Water,2009,Sheena Pham,Kathy Hoang,Hieu Phan,Vico Thai,Khoa Do,Drama,,,2010,105,,Khoa Do
5909,,tt1023466,Maldeniye Simion,1987,Anoja Weerasinghe,Joe Abeywickrama,Swarna Mallawarachchi,Ravindra Randeniya,D.B. Nihalsinghe,,,,,,,Arawwala Nandimithra
5919,7.9,tt1602011,Accidental Icon: The Real Gidget Story,2010,Layne Beachley,James Darren,Sally Field,Jorja Fox,Brian Gillogly,,,Young female surfers have been nicknamed 'Gidget' for almost 50 years and yet the true story of Kathy Kohner Zuckerman...,2010-04,60,,Brian Gillogly
5925,,tt1649380,Mütter,1975,Inge Meysel,,,,Rainer Wolffhardt,,,,,70,,Curth Flatow
5945,6.4,tt1733536,Love Child,2011,Julietta Rodriguez,Victor Checo,Gastner Legerme,Dionis Rufino,Leticia Tonos,Drama,Romance,"Maria, 18 year old daughter of a single mother, decides to look for the father she has never met after her mother dies in a tragic accident...",,97,,Leticia Tonos
5964,,tt1907644,Cocaine Diaries,2007,Haji Abdullah,Xavier Bolton,Jeffrey Bramlet,John Bramlett,Hattie Lemon,Drama,,Leroy Jones life takes a turn for the worst as his addiction to Cocaine spirals him down into the dark underbelly of the inner city...,,68,,Aaron Farris
5965,,tt2928746,Blackstar Canyon,,,,,,Greg Beville,Horror,,"Five teens and a failed journalist aim to unravel the threads which connect a former bank-robbing terrorist and a one-eyed, homicidal rancher, who has an itchy trigger finger.",,93,Step Inside: your Demons are hungry.,Greg Beville
5968,,tt3661760,What's left of life,2013,Elisabet Assens,Marc Carapeto,Tony Corvillo,Jordi Estrada,Isaias San Martin,Drama,Thriller,"A psychological thriller with many ups and downs involved where feelings such as love and hate, nostalgia, infidelity, violence, resentment, loneliness and death",,88,,Isaias San Martin
